"Population with at least some secondary education, female (% ages 25 and older)"
"Dimension: Education"
"SDG 4.4 By 2030, substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship"
"Definition: Percentage of the population ages 25 and older that has reached (but not necessarily completed) a secondary level of education."
"Source: UNESCO Institute for Statistics (2020) and Barro and Lee (2018)."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"49"," Romania","63.8","","70.6","","73.2","","78.8","","83.9","","85.1","","86.1","","86.6","","86.1","","86.5","","87.2","","87.9","","87.9","","88.2","a"
"52"," Russian Federation","74.2","","80.3","","91.5","","93.6","","89.6","","90.8","","92.1","","93.4","","94.6","","95.9","","95.8","","95.8","","96.3","","96.3","a"
"160"," Rwanda","2.8","","3.6","","5.0","","6.3","","8.0","","8.7","","9.2","","9.1","","9.1","","9.5","","10.0","","10.4","","10.9","","10.9","a"
"86"," Saint Lucia","..","","..","","..","","..","","48.2","","48.2","","48.2","","48.2","","48.2","","48.2","","48.2","","48.2","","49.2","","49.2","a"
"111"," Samoa","..","","..","","63.3","","68.4","","73.6","","74.6","","75.7","","76.7","","77.8","","77.8","","79.1","","79.1","","79.1","","79.1","a,h"
"135"," Sao Tome and Principe","..","","..","","..","","..","","30.8","","30.8","","30.8","","30.8","","30.8","","30.8","","31.1","","31.1","","31.5","","31.5","a"
"40"," Saudi Arabia","21.8","","27.0","","31.8","","44.9","","54.6","","56.6","","58.5","","60.1","","61.3","","62.4","","63.6","","64.8","","64.8","","64.8","a"
"168"," Senegal","4.1","","4.3","","4.3","","4.1","","6.7","","7.2","","8.4","","9.6","","9.7","","9.9","","10.1","","10.3","","10.3","","10.3","a"
"64"," Serbia","32.5","","40.7","","44.7","","62.7","","80.7","","79.5","","80.5","","81.6","","82.3","","84.6","","85.7","","86.3","","86.3","","86.3","a"
"182"," Sierra Leone","4.0","","5.2","","6.3","","7.3","","9.9","","11.7","","13.4","","15.1","","16.8","","16.8","","18.5","","19.2","","19.9","","20.1","a,b"
"11"," Singapore","28.9","","46.3","","61.2","","66.6","","72.7","","73.2","","74.1","","74.8","","75.5","","76.1","","76.3","","76.8","","78.1","","78.1","a"
"39"," Slovakia","71.8","","90.5","","92.1","","97.9","","97.4","","97.3","","99.1","","99.1","","99.2","","99.1","","101.6","","99.2","","99.2","","99.2","a"
"22"," Slovenia","78.0","","84.7","","93.2","","93.1","","94.0","","94.8","","95.8","","96.1","","96.8","","97.4","","97.0","","97.2","","97.2","","97.2","a"
"114"," South Africa","37.7","","51.3","","53.6","","62.6","","69.7","","71.1","","72.7","","73.2","","73.7","","74.2","","74.2","","74.2","","75.0","","75.0","a"
"25"," Spain","30.1","","42.9","","54.9","","58.4","","64.2","","65.6","","66.8","","68.8","","70.9","","72.2","","73.3","","74.3","","75.4","","75.4","a"
"72"," Sri Lanka","49.0","","59.9","","71.0","","72.2","","73.5","","74.2","","75.0","","75.7","","76.5","","77.2","","77.9","","78.5","","79.2","","79.2","a"
"170"," Sudan","3.9","","6.4","","9.1","","11.0","","12.1","","12.5","","12.9","","13.3","","13.7","","13.7","","14.1","","14.7","","15.3","","15.4","a,b"
"97"," Suriname","..","","..","","39.8","","45.9","","52.4","","53.7","","55.0","","56.4","","57.7","","58.2","","58.7","","58.7","","61.5","","61.5","a,d"
"7"," Sweden","67.2","","73.2","","79.9","","88.7","","85.1","","85.9","","86.5","","87.2","","87.8","","88.4","","88.8","","89.3","","89.3","","89.3","a"
"2"," Switzerland","57.4","","57.5","","64.5","","81.5","","94.6","","94.7","","95.0","","95.5","","96.1","","96.4","","96.1","","95.8","","95.6","","95.6","a"
"151"," Syrian Arab Republic","18.8","","22.1","","25.6","","27.1","","29.5","","30.8","","32.1","","33.5","","34.8","","36.1","","37.1","","37.1","","37.1","","37.1","a,b"
"125"," Tajikistan","71.2","","82.3","","89.9","","92.7","","93.2","","93.2","","93.2","","93.3","","93.3","","93.3","","93.3","","93.3","","93.3","","93.3","a,c"
"163"," Tanzania (United Republic of)","2.5","","3.2","","4.0","","5.5","","7.7","","8.1","","8.6","","9.3","","10.1","","10.8","","11.9","","11.9","","11.9","","12.0","a,b"
"79"," Thailand","11.6","","13.6","","18.7","","29.4","","35.7","","36.7","","37.7","","38.7","","39.6","","40.6","","42.4","","43.0","","43.5","","43.5","a"
"167"," Togo","9.5","","11.0","","12.6","","13.7","","16.1","","17.9","","19.6","","21.4","","23.1","","23.1","","24.9","","26.3","","27.6","","27.6","a,d"
"104"," Tonga","59.9","","71.6","","70.7","","68.6","","83.6","","87.5","","88.7","","90.0","","91.2","","92.5","","92.7","","92.7","","94.0","","94.0","a,e"
"67"," Trinidad and Tobago","37.0","","44.0","","50.7","","56.6","","59.7","","62.4","","65.1","","67.9","","70.6","","70.6","","73.3","","74.4","","74.4","","74.5","a,b"
"95"," Tunisia","12.0","","15.9","","20.7","","26.1","","32.8","","34.0","","33.3","","35.4","","37.5","","37.5","","40.0","","41.2","","42.3","","42.4","a"
